Total Household Income,Total Food Expenditure
168776,60128
152047,59970
335954,112347
709024,100212
605745,131850
382250,85410
527414,123701
156521,31660
263436,107589
148380,67945
377346,121894
422667,108683
766748,211238
215511,88194
800270,229460
761716,213647
277876,121604
113552,48224
268664,116227
1298618,219200
688301,147628
163384,73563
92594,40355
598374,112794
127351,32826
355513,59760
1291091,231458
793284,102127
215530,75642
217955,77740
198232,70550
359540,155366
240715,128540
128040,38602
223194,115365
311265,48234
477246,161643
297620,128373
92340,37153
161663,54725
133196,66612
148521,94355
114726,65400
123127,53864
177881,88144
198773,90853
359864,125959
721465,214013
510280,144882
261307,109581
193583,107701
172170,66817
740120,117082
251620,81137
236232,95059
237000,63678
540552,56403
232352,125471
566366,152811
676700,106345
340464,136593
545412,83205
144617,81389
1424550,85103
144400,30253
3577000,450822
615345,125090
2829500,106692
156861,76597
192193,76370
546021,68530
187511,70586
115851,41001
77934,48182
108104,75939
82614,47388
100229,54026
71520,42725
90118,57913
140503,57151
70261,44079
99660,61202
107878,44048
39556,17151
136036,63267
69621,42536
79506,33318
108589,39657
168764,61669
809614,186758
181944,85770
139092,76909
261072,156240
338725,131871
163265,55474
160944,53508
281548,53990
165917,65106
312846,124351
158450,53215
239720,98572
135480,35186
197094,62205
362998,86414
208230,78345
69012,27269
180942,95063
247094,149611
157675,77375
263850,121825
149109,75717
673552,313518
295668,118951
250007,87171
189842,115726
374080,171800
244030,96746
176555,67458
314108,109632
156879,73294
312428,108019
46943,16911
224194,69492
347013,133444
204757,81577
72310,35270
34369,11993
209099,79930
186575,48885
155946,64673
210687,80966
99896,52372
132903,45689
380960,135849
118617,58515
214630,87582
134540,82661
173875,59391
166526,72828
177887,106861
46609,20824
103760,37114
214667,77248
122224,55101
170073,48049
314777,74815
239611,116389
122080,56717
206299,86084
64411,28038
601479,115077
216286,92314
1013690,182338
212221,77964
263869,108018
352859,64901
389894,74660
151850,59834
451467,97196
192210,39290
232147,70580
158260,44622
292402,113004
357459,125079
145454,57667
163702,66057
246514,94555
430842,143897
191571,59730
621508,177432
184805,45207
298582,79217
247925,92000
168867,84608
181682,46202
134771,69492
339660,121384
565790,146565
318169,137386
255031,83062
137928,82130
129679,89674
141939,66636
327710,125665
265572,112269
158741,94187
383073,106595
147537,52829
229830,62525
122198,49741
199562,77651
134268,66400
132438,71575
116720,56024
210396,72870
165331,92803
270222,103101
217250,114228
264521,114761
217486,111812
354330,146389
872455,297989
135820,75819
196128,95999
537978,99151
309094,128811
235968,142885
199964,90652
138294,71486
219503,80247
329362,159005
116495,37748
200355,37142
6203960,245209
71432,44433
291702,51398
143337,45194
543763,102510
123119,66624
70513,28241
151696,62252
270132,129530
422189,140512
345371,138916
174266,98819
324600,153196
416889,120955
348260,111262
176220,83661
118140,51117
284058,70258
103245,36267
231049,96321
126598,66566
339825,103643
572960,199232
574529,190394
326775,132954
224660,104906
185060,84349
153050,82202
318372,119286
190715,99463
406982,158609
80378,23010
329076,111691
117971,76626
281409,70054
266649,97005
103843,36467
633974,212382
218886,114641
210390,91686
159303,83743
412301,116086
247635,96483
227134,80144
205409,95181
210234,133096
153522,91040
192578,76264
148469,45939
184036,73574
276616,100484
194550,54462
152769,85205
314195,123562
627424,230542
343323,133897
338036,170820
194088,109826
92012,64144
145380,80889
48600,34590
110327,49452
78718,29113
324239,141083
53160,32023
163867,69679
113164,65012
76415,40298
116117,48724
62359,44732
57955,26722
154513,77814
149046,59876
145956,72027
195044,82737
94575,31951
129857,62018
86005,37809
122090,53813
88817,44985
141826,45445
194564,89252
357169,114517
327274,135544
145870,81946
106894,53193
208213,106540
176746,106095
194334,88463
192517,61667
288384,145266
80843,27650
1202496,245662
1838035,200797
844654,185216
871027,124752
249348,113019
216200,93780
250986,78294
239629,69002
74550,37468
408812,92729
72757,38635
510110,100510
298724,96240
1252994,188997
165650,71916
214424,59079
97612,32986
322284,75772
1154860,136868
503822,160164
178046,102261
253305,101868
589292,109310
392504,66913
1557986,265237
667661,163820
602900,191541
2540380,522836
2155298,369299
454655,121030
171646,58610
639733,58504
514491,87470
529526,121858
307070,111912
67908,37178
137608,72941
187511,105073
94337,54361
246837,112496
186606,97536
348936,100192
137808,83582
255864,55174
135389,60069
188362,72485
125044,68413
187082,75095
241025,75919
255363,81855
1053442,156707
105983,70175
167828,76333
83758,30238
356496,121380
133225,89188
321021,118684
360008,107818
196004,77464
236686,83801
387191,114252
1093998,163442
644182,114833
293310,104824
358964,120276
551019,106135
122904,52333
263366,97581
587000,147828
284245,144407
296536,89273
743222,109060
219104,40566
456972,95970
594728,134072
384581,117100
568536,122881
109870,46662
111338,47794
278324,107225
286414,82828
310542,85546
865014,209252
762064,174299
619629,139913
252792,134411
404015,114393
343302,96870
94855,47653
466705,129626
179520,61451
166248,82513
271178,157838
125571,81771
232024,87284
200502,68107
305185,59069
157379,34612
159880,75285
572390,150224
248478,134197
306020,125277
593491,145610
143531,81241
120266,95729
113340,66537
228573,95081
183800,69625
219856,77611
412367,103792
81478,29861
356973,146137
185258,40269
313597,84527
237224,43886
342330,145509
693686,176794
101400,35912
143911,52334
341404,167046
720580,80895
341299,72596
164497,37496
190294,61946
405998,77654
495400,145690
225850,38696
363392,107057
951160,151110
594325,91268
390344,168860
250580,51348
147244,54204
286004,50286
435342,150091
94184,48541
190826,40197
541700,129440
714888,140922
128999,47729
106772,29471
411754,117596
181870,102471
120592,57371
246666,110275
521086,170644
320078,86270
678119,189867
196980,89104
56334,25686
129634,66008
131784,58916
413925,109527
187615,81153
186975,65594
178722,62008
621266,134093
71763,27462
134558,69470
68202,34533
124588,58487
132642,62754
93426,61270
260485,98919
97020,59917
149384,47559
303567,82708
142773,55230
178149,61127
112222,43913
108714,68740
78306,47926
104071,43451
97495,64635
95696,37335
36918,22971
83484,37327
271493,128291
83381,57435
91686,59010
42008,23468
73546,41952
78727,45380
78898,35760
99766,58263
53048,29919
113147,73083
91848,58028
197025,109178
79047,52065
45152,32454
886221,135449
112513,40595
117395,31610
340470,41681
229855,63790
226640,56013
592198,130621
599754,86242
195835,41047
451530,96638
126620,58655
559596,139202
495650,112719
390990,108902
122529,68315
455180,52314
106438,57737
128955,61093
198398,72076
703032,181113
1863718,219174
453752,118341
126854,57064
219786,78215
152100,72181
461256,197455
502290,56419
412550,132836
518496,125006
305544,83839
539604,81901
574732,91510
547208,81577
1004960,184286
291556,96139
366654,70691
774340,97589
144169,57077
179092,75731
436287,123025
102099,43531
96423,64180
103690,36840
90623,39974
213620,99349
215887,93393
232150,84925
197504,62678
131691,61833
561356,98730
160756,50987
163562,94845
184360,115391
184483,69771
182312,61030
182434,91164
122225,40143
104621,53344
216360,93799
107205,54927
52389,27985
65778,20798
294843,90899
58442,37857
70613,33795
153836,62487
78650,27767
144834,81738
103197,79007
210956,63972
94870,38120
118392,68181
121545,56001
92603,33517
142527,74131
412306,128141
554710,143668
344208,178766
1281840,252734
303699,97380
421476,198129
200590,80284
226241,68581
347177,214381
328769,149983
482822,180284
196937,47956
124841,60099
130637,56739
136487,52427
167344,64291
180668,50940
178869,55419
203470,89330
111464,41462
211090,70017
346521,138858
283545,40198
343274,103520
392413,178217
299666,101105
239086,70880
86504,30883
159046,35644
169727,72992
108400,39326
397975,133479
386244,137375
114623,46243
129833,66318
165551,51690
238187,86493
270740,119202
143353,77012
210571,108056
117836,54926
153825,62356
305720,125444
312090,112069
200476,71793
90314,45398
211086,63788
187340,101809
58482,15552
466000,95390
199002,91772
371148,99303
404237,162386
316245,103933
575565,75181
542775,165471
261485,44173
180250,57825
990000,125430
286452,105660
273416,111291
600000,88536
264000,75573
1058470,162987
231592,119570
42308,19768
378140,135281
286800,70254
224232,56021
134185,59611
133853,44253
58159,25291
271900,101416
178954,67653
635072,283139
411284,130099
87452,13319
842880,131023
388640,104078
362177,112180
314000,100935
522420,119221
728288,184893
476795,128218
364692,85354
251558,120643
348562,93512
174360,97332
511970,116404
412498,125041
161683,48924
187075,91282
598740,143778
503638,142631
562778,111121
314204,95118
156435,54054
157663,42873
429750,169460
121200,48147
814964,212312
447767,157967
719990,184253
133904,38530
386046,149931
201337,77385
133780,75218
256000,100963
319700,93090
247130,130397
205020,103017
417264,152479
148490,60891
147384,65893
321970,144453
376729,138975
189260,97077
281930,78583
251600,114470
177554,108167
180000,115860
133316,66955
228620,88030
72753,30153
218522,90391
109250,71173
213700,107417
235136,107306
132200,75977
72595,49696
700668,218200
212200,104279
358253,116922
398314,188591
194280,65298
267180,82398
185520,64889
225585,78853
539930,111047
267135,119605
155662,70463
117964,30789
116000,62113
206300,70603
125617,76493
145259,86295
379250,135363
385742,196182
64911,24017
339850,123063
212458,98914
162056,46688
156517,54728
256890,136181
300816,157610
432072,173536
388847,99634
119660,45784
141244,26613
481106,188949
282638,102255
408976,206804
221412,116444
47940,28662
150712,82183
122910,64011
180257,59950
537354,177472
231600,70060
611713,263175
119737,64715
867934,178462
204818,76535
104607,52213
594180,156481
341773,103628
315553,114935
101205,36021
195912,56186
108831,55175
305664,117043
162490,77950
91167,34785
242172,155472
70701,31844
117152,62311
85257,58398
239563,101332
131782,45263
128661,81272
181449,64888
134417,67408
294210,77348
375874,128896
148890,51291
104950,82801
569345,108447
638537,141191
1086300,131131
245204,107019
300000,75852
218468,62222
321298,110685
503989,82812
268288,54881
372732,107251
171558,55626
122866,65921
190852,65709
320094,103767
315320,115108
397998,113051
203640,102697
136174,58948
231806,64887
263193,59101
538602,176613
319650,68241
170904,89925
125266,62260
138500,77000
119298,73710
142864,57124
385178,114560
287065,117692
128430,52123
154473,70862
116982,65093
59977,32756
261276,124272
516794,169036
189052,86524
149326,83036
246369,71884
294520,85070
236194,99613
560501,156212
251235,108699
184749,65959
175559,75747
97763,50464
306670,154117
349921,175233
86464,45767
277517,105134
124595,55339
210693,75313
206017,62914
568830,115436
649901,142161
151462,72978
280956,88808
906167,243554
433495,188844
206622,116654
128835,69277
762393,237799
127796,55644
167158,86308
203193,64389
38993,19538
474456,184189
235113,103201
505938,115028
195000,50276
503587,101309
573567,253052
300935,94614
346528,102746
636167,95290
363586,152125
259250,74527
159877,60856
104465,42617
115638,61182
329632,124580
90985,53615
185582,77964
109382,39615
295307,182460
115080,77229
68176,48428
72850,42026
72330,39616
154065,103900
78752,52777
245942,91384
112039,45077
225604,65588
137028,50681
172371,81925
84204,47772
85818,40079
215155,99124
208512,80368
141563,64720
130287,48067
131503,65583
450115,80505
247145,70690
134730,64206
96581,42568
174559,65802
167790,56762
541800,64410
86340,40276
211460,72270
217124,14623
152641,59549
268891,96793
72911,36156
126970,56822
390164,84334
367335,68266
67030,40586
179465,62365
523874,164175
330840,122125
221050,110748
356440,62822
248339,101627
604788,175204
98580,27093
261121,79053
439175,95937
122894,50974
142154,60661
106383,67975
110312,47964
235833,131193
60240,26465
567983,194705
137835,55431
107618,35656
72060,31625
159194,74516
86653,55798
108163,38433
115400,47107
156813,53601
155735,33223
63942,37723
111751,51014
1062673,169023
156098,87158
90186,55119
134408,70398
147848,59257
181810,61941
87202,40955
86343,48563
767404,117353
226138,107723
517366,100081
369133,174261
116534,52351
323209,115159
178901,40227
131431,79369
140893,56196
109572,35202
700260,120937
188964,58234
95053,84263
396520,159503
122230,85047
257092,32522
815911,123301
539240,104850
248787,62342
237975,115932
137536,59358
85924,44670
223108,121314
101467,57809
391604,105447
115833,76492
486483,109443
77164,39556
107991,61271
114795,46229
170226,93791
88860,47046
47208,35238
53158,43001
78736,49100
96551,75362
92290,55435
77836,55526
66118,44909
100500,58745
40120,25474
76115,56455
115342,83154
103558,44415
79850,54778
80174,45068
66124,47657
118396,79256
39949,24635
69878,45315
156778,75256
57160,36763
144428,53425
88945,25686
241807,81210
113861,45163
96090,57607
104485,64599
22090,11712
87923,27121
150611,60485
151593,29247
39043,22818
93158,40767
120910,68762
91998,45409
152238,74140
108011,48415
167397,45727
53510,32325
209783,64424
61590,42530
163355,47482
79630,30763
107377,39464
109038,50788
69010,26475
253072,93857
55232,40449
69095,28482
68901,46815
220520,77868
106132,60645
127935,61892
57530,25672
75611,40146
60311,33592
536282,157481
366605,79216
846320,141356
202880,83945
77495,41452
142916,55270
53042,26512
118847,41444
266944,94706
176356,70207
32770,13695
58136,33861
303496,130299
83424,40986
80762,44538
123309,68550
82158,36511
119615,49108
61737,24807
157725,81755
88300,58965
49307,20484
51148,17618
74471,32082
62912,41525
250434,115197
61920,39105
144407,49436
94890,44964
75730,52828
441064,156733
193336,46793
63346,43631
108418,63504
71668,29456
132107,63348
80830,33559
130653,69979
75202,32910
70600,42274
93980,25596
35061,17471
79433,49204
42229,26493
80065,43578
64236,38676
65894,38443
54227,30565
84000,51495
63708,44497
50696,32405
113088,51713
260857,126687
35052,19806
77776,44917
48068,26344
40453,22886
122181,75112
77707,39443
96955,51580
33526,23442
166180,70849
93347,51044
84034,41531
68007,37288
112622,55145
118578,73309
76573,50190
130715,76958
120852,36932
70294,42020
91477,40703
96920,60899
66210,47717
84577,57862
200110,91882
431536,87062
195470,58039
88045,47916
72484,38510
94965,45245
138258,86535
61790,31654
137118,60242
107177,67531
198330,40980
596410,145532
318963,94550
204300,80519
517510,96728
191566,59653
118387,47841
244016,75411
234740,58453
56640,21003
218411,39972
75932,42047
183408,60719
73689,26461
101291,39013
67253,37598
39678,16023
55436,26849
60577,30976
68257,47800
98582,56056
106020,25274
484244,162384
122139,56722
396530,82230
466105,111190
145583,71865
128936,51615
142174,45410
102104,49759
99797,66834
170305,81425
106040,68972
151812,79725
88315,44908
241180,127367
121745,78541
200397,86466
112563,51466
98449,53153
145912,84330
191821,92749
104430,82837
272304,104975
95620,46160
120009,65503
287139,99606
152170,70479
221738,79677
461050,131081
153858,68279
322728,121388
204298,116429
127274,73478
138577,94002
171346,37052
96583,63970
100559,53583
153835,97943
184327,52341
299000,47654
135048,81789
166422,48983
84715,38667
86766,28867
139299,79571
168271,76289
235164,92752
254013,108451
101404,41069
316362,122160
119506,71065
223509,104170
103900,51514
175232,67566
240652,94330
134720,66143
884328,117915
118012,52101
113890,44359
297310,121079
909980,221012
769294,155401
241906,86562
186250,79272
142625,46800
118600,61163
192159,38003
183052,72110
116118,66525
713785,88713
256374,34598
99321,39617
448277,145259
114347,65896
203512,43471
279154,46242
44302,12502
213955,63540
146511,79628
88265,58653
157816,57354
53744,27290
153776,61650
109719,55271
64063,33080
48495,22783
64363,41884
87739,45213
80076,39171
79508,37024
127755,40085
77944,35635
98577,37671
70916,43763
38956,22362
50279,32990
64826,41036
111965,58162
95348,24580
115301,54434
113508,60523
41581,29214
455237,77054
88970,41771
184728,55982
68028,31719
115835,31033
144268,43759
150978,39968
233080,85301
40008,19433
86184,36004
91090,43965
44746,25567
104021,69143
17440,5482
72596,23670
48264,24445
146208,43338
140108,87590
81570,18913
125067,61697
307971,181683
153965,98496
64907,36920
38524,17341
85583,56281
82575,54728
40427,26352
50903,30620
43648,27431
60778,36352
88889,36242
64399,39151
128243,74876
141250,84265
138632,81323
44804,26152
84104,47590
44540,24083
122054,74177
88602,51913
128666,76564
126081,71501
116368,77352
301009,98686
72709,49475
102917,61744
147232,76227
114960,48681
67637,41334
102161,58013
158251,47954
57374,34422
99190,61501
107653,61491
54694,32078
129708,63309
560059,108654
247186,99010
133265,79631
162690,67704
526449,82519
75578,18894
83847,28942
103184,48119
146610,88690
131685,84106
94020,38570
181925,81044
98768,41603
111958,35611
138230,45318
165544,49433
95444,28300
154641,79479
332605,63065
141174,61359
153372,46502
117127,37642
116384,50984
131330,46203
166983,73641
168106,60509
226495,93886
105019,47947
115921,48664
68922,25878
129407,65711
142194,58996
151300,59779
118579,57684
143355,75439
187387,100127
320640,137376
179845,69864
136789,75450
553167,150153
174814,69459
214530,100059
209996,113188
124935,89860
160111,87266
141931,103502
164916,86999
221536,121965
170460,95845
104901,43946
87055,43408
122586,53664
178544,78174
85623,39621
123817,48808
406002,68162
134310,54712
115018,26624
46747,19937
141206,72036
183534,80719
117213,69691
182838,59701
153874,60189
170400,78525
217940,83632
112726,53020
136387,68226
108550,64060
103656,40970
433440,128285
89528,38512
147149,85734
158273,80925
181287,78656
402052,83843
174869,113089
381380,149183
180214,86251
287751,77923
94534,30169
111425,42210
92613,48783
63342,37285
383204,92141
298945,70968
104249,55585
115176,68937
405419,87227
140478,63979
161018,96546
64343,38003
99632,56916
238115,81989
229375,135381
288975,100709
269165,123943
204645,88133
151539,87069
207706,92329
112450,75131
101582,51789
659869,129360
333014,110178
132059,64363
119610,65153
135775,64424
207460,106871
151068,68005
506740,129671
358033,115460
112958,65219
326180,52848
138860,59448
132751,63558
71110,35138
134065,77447
96227,29336
245384,57160
58454,27672
247746,107165
49734,27862
89039,34327
180097,68114
28620,18114
106970,56469
49359,29506
824354,130634
413748,101472
89725,24475
100513,38371
293136,78981
129269,57990
142945,72191
143222,48194
183799,86509
121396,46407
344632,75590
102500,40519
217003,101060
104724,51123
260991,88501
189759,95487
121307,60475
217985,85027
115874,40720
268803,77210
135872,69629
124006,43835
169828,66112
45748,26425
68205,43417
187504,49632
399204,75550
474943,41821
194282,77909
76222,25721
71098,33515
720310,87161
91051,52375
86982,25949
86042,28156
85664,61656
318174,120624
146015,54747
438740,199968
135180,80522
105088,47943
216124,84481
156990,91076
369594,114531
473704,136449
139838,72597
619309,152296
110985,52679
99700,55881
134788,58913
316785,151853
174290,92974
314557,172311
266200,116267
210270,76999
175430,83618
525400,101441
145460,109061
122380,70276
187190,63278
90300,52150
97770,48734
126840,68195
93300,57780
218768,102358
215142,88655
189387,66689
46279,26489
166828,84016
82546,39617
222579,69607
241770,24477
88227,50285
328318,83326
82949,30590
122066,64833
100070,41825
128918,51732
102855,44824
165128,71472
551017,160143
112444,45531
107842,42476
107036,54436
166277,68913
81627,36916
161616,63135
3228664,201090
90335,42537
95152,43694
168778,94654
238775,127629
78125,23341
173549,63281
161000,74876
143462,83590
110550,46178
159187,63167
141163,54340
124300,77134
79370,55944
77039,31851
167009,107930
298334,121845
54975,18433
83744,34486
98340,56558
100485,54677
147146,47208
235422,34232
2028088,317836
93210,41920
199913,79870
180088,61726
224554,97090
1275410,161931
340627,112354
273518,81863
310772,68765
95070,36489
97958,48013
537478,131800
69692,23383
86082,21429
602282,91180
172349,70503
386014,39209
104237,50038
87179,33924
119433,43955
67064,24189
101636,48679
46801,16471
198305,75566
257989,94524
191028,54234
123139,47391
142440,19412
133655,45084
151190,78867
123855,83676
615451,117632
149870,77065
130880,70030
90607,42716
145400,67007
186834,47684
115783,65901
68166,43720
21357,13995
102600,42908
62810,27753
113603,51859
77496,45152
55829,40480
38524,29659
81382,42032
22771,18401
84156,30592
87366,61454
328619,74294
311360,76640
290760,75876
58551,36856
147411,71976
47503,29332
79476,53319
51023,34119
713395,205478
141268,74861
95822,46270
28944,11856
66596,42788
203717,86839
55628,37664
119988,58971
47895,18471
74187,36241
100770,62346
71580,20296
48158,29697
81500,58935
70881,44859
168285,52969
41633,26421
104209,54351
88262,32451
44432,30089
118407,54715
53479,34135
78131,41885
765290,318488
410450,115025
115300,55421
722975,157935
105240,53680
48683,25540
171240,48379
212895,94276
103493,79582
136433,45243
277518,118557
2513000,309756
596606,112223
139275,48052
1046838,86787
726850,135251
744496,105812
180493,55826
160580,52612
63581,43396
96770,79271
102906,87762
100925,80710
81382,56086
44262,29259
78814,47641
111581,46965
121874,45838
181783,84532
134975,70525
180592,56448
148217,60917
241981,51672
61691,19171
130205,60962
46660,21269
95917,27428
166033,58598
420966,129341
226625,42393
137761,69482
271387,91058
102782,53249
125578,54015
229353,48794
93996,37166
118556,30419
53600,39443
117489,42075
130181,73551
2152577,151896
509740,75228
558589,139306
154603,59516
187627,93556
97897,57954
656266,105445
194775,88382
136555,86320
385525,105579
333280,131109
184056,69395
430074,133933
129402,69618
280713,83370
257718,76487
183077,97675
145301,54305
57791,33308
138825,82302
118666,68895
130403,64792
87281,43156
123189,75314
89553,49311
204450,120303
112619,55997
199416,125646
153817,63441
127619,94638
248825,150139
165138,59747
257831,89920
113079,80682
190271,90309
116958,78089
154651,106491
261951,62887
133970,44274
119668,47190
169260,94938
247670,97368
118070,55449
173800,52219
255820,125445
316605,148459
112125,46643
240670,117322
257241,112415
199282,78196
99193,52921
311280,119592
381402,120801
405602,147002
94693,60228
397095,135906
83410,38064
207763,66989
103918,36511
266646,99908
129158,101500
738108,79004
124728,72027
97502,55536
103728,59852
157736,79344
260609,94297
241625,101134
91763,65077
98235,48894
168677,66490
298556,97148
122358,65517
149314,69379
1126443,221278
186374,34942
74448,43018
203915,116073
141144,57900
407984,97173
174593,62866
84045,62108
151373,63821
233210,86527
121505,70384
512680,151865
256264,136230
138109,97860
226704,105977
93647,77008
351600,107371
214003,131658
124827,35293
104378,46664
228580,205717
136793,57688
184909,76873
165279,88991
273577,114965
90755,14331
196836,58142
42871,28499
118997,57971
124896,45325
111435,42405
141761,56651
62258,35252
78114,47775
60778,34970
134951,79522
176383,81690
109543,61891
64387,41920
617433,207223
123363,82673
83358,42870
89933,41364
71400,22528
126798,63866
100805,43916
126626,84123
93179,73799
117761,61165
85737,40169
61765,37280
170893,87660
135524,74887
86724,49119
131998,80972
321926,82018
121345,57155
247197,84515
95896,45823
84928,46172
121814,83304
84695,60549
208534,92271
90174,35415
123581,42405
90914,59473
111458,52695
137329,70638
48802,24141
62124,44398
114959,61706
118458,59149
529954,169135
99840,50316
160324,83364
456315,131272
158851,78515
145201,57159
97192,39436
192900,74004
117830,63474
131195,84850
181268,81630
184165,77857
146375,70514
293189,59535
159942,29562
199389,65955
143659,60760
131711,76353
215792,47115
128152,72018
92975,69923
242010,59301
68455,55273
82120,32020
72433,47705
140818,81287
70195,47903
95775,44145
210385,92056
157130,69447
123463,50108
179545,100434
40818,12995
87495,26568
154631,54593
233837,83553
102492,65702
735852,76246
336730,43148
201991,64509
563371,77646
116357,60958
240611,116641
556873,117069
474524,79340
210028,70475
141991,43447
158392,44615
36783,15165
352805,77955
579610,61774
127575,52814
87528,33804
308644,99793
191480,62788
385485,119182
166995,96180
476315,150717
204775,136424
221440,65709
777190,244750
675500,103936
184105,62782
127434,40101
138300,54899
229636,61988
156852,66222
165786,76629
250840,119095
1254129,276092
687441,171852
692594,120653
879889,135375
1090977,90130
93368,45651
67756,35357
66805,43030
116342,84454
67980,43383
162736,54608
31519,18154
42297,23288
92734,69332
154470,39631
100452,36199
71350,43426
63533,44987
281621,81931
241795,73864
165727,67852
116845,58774
168813,89200
167359,51072
62095,36530
226286,82511
285677,238550
207432,74170
145744,82492
230373,93689
305466,80912
125129,89854
270807,87770
554488,99739
163266,86723
361135,126528
325344,82254
207527,69329
150149,41975
591600,134010
108172,59918
205918,38320
174232,112503
121096,47960
86340,30515
122445,41789
360904,35648
154766,90969
246955,46116
52809,27424
73642,40403
263436,73156
53048,20358
54153,22287
177505,65391
189029,72421
146152,82526
235950,98774
347632,160047
194009,59331
247895,83184
248023,63418
121456,47863
195670,76605
119493,61204
57162,16100
216724,103407
134812,84787
208527,81591
89950,35213
57456,17519
59807,49388
38034,13768
132150,51068
98793,64397
59045,43845
57842,35515
160996,49400
79757,66214
116910,82710
152133,57753
88728,60444
123517,84079
55477,17677
53156,26613
39733,15174
69500,28611
33955,18389
66737,59170
113157,75235
68841,41634
70592,36367
56845,20053
76610,45060
135122,48188
78157,45322
172828,97264
67520,55565
106273,48398
88758,62620
98303,61690
153013,85967
45570,17272
141070,54632
376374,89624
160986,62970
121345,34937
51263,23837
159960,66160
332145,91435
409135,63313
230915,89004
145515,73079
204466,103383
144091,44912
206666,65940
175860,68766
409105,111725
212317,123346
445115,111876
46971,20251
187778,59942
452475,68931
96274,28484
265246,52278
736270,113210
761957,184680
368447,190675
166157,36125
173590,63681
218958,29549
204000,39315
133917,67651
721659,153493
488228,150884
306723,93602
355275,82570
120009,65747
252179,66408
238647,105312
118145,70375
247263,122805
138335,81928
410082,146435
266161,111822
143366,49216
150415,65869
194544,113015
157163,85578
765368,185358
246547,115366
63073,32312
99073,69607
113000,53278
87883,55262
166395,113967
364840,92664
241631,107968
125839,69073
192509,114549
196885,71901
238817,106729
329622,189217
209755,95226
167453,102654
483086,124245
272808,135809
203588,117078
201306,111456
177596,88667
296045,30707
380537,77036
122590,72742
167592,76153
145138,74124
308500,79680
170058,96498
150883,71910
155194,88198
161882,39746
232792,65722
468177,77259
136134,39249
182919,98938
122901,56413
366550,81044
166552,61754
140320,73029
150063,70541
271384,83286
160399,108016
589297,111712
471914,136134
101758,75929
102706,72277
73538,28553
114302,64482
198336,79518
209886,78028
103364,29748
87911,49044
115909,56298
216742,68155
138117,70440
81985,49843
156667,96483
291792,77724
352807,135132
166891,65778
142645,50516
122282,66614
353769,72325
135626,75496
373019,97964
217578,68421
182811,80375
191554,58780
367155,109844
201322,81980
205319,67872
490408,174481
96808,36602
171684,118684
700840,104130
136739,72501
102198,43143
283948,64357
123298,43090
381637,42960
76440,35499
80674,38907
521853,76877
164902,71634
117432,61529
147724,52389
214682,80393
124864,79469
175609,70935
234220,73204
137542,55286
431255,85328
149971,89708
136910,63530
312102,59949
341520,84687
122121,60062
107943,37944
56818,17696
145744,55192
94180,36261
106327,52132
150413,92344
187666,117906
336695,121835
206821,115289
126775,31186
159713,79130
200021,36864
271449,86130
519466,185210
95476,28696
151118,48986
169262,25590
275127,77505
127902,64274
268337,43570
261529,160112
71944,43443
349242,121718
200255,116411
172585,68082
221110,136538
105514,58097
178820,101490
166035,108796
204823,109658
122473,70618
125998,58084
190670,92512
133858,90773
227968,109451
140515,43489
179922,145607
225134,83785
114272,67764
299336,156061
163867,70455
691403,148949
522936,134772
110916,34189
978040,236484
394657,226531
244964,95492
131573,81563
540299,154114
278887,73946
286242,132024
374009,106060
212700,78317
295325,106315
710297,83435
153283,58605
127139,76414
346310,110873
363334,106994
459683,153191
272906,122173
113750,64307
221728,88250
469275,63518
384578,167186
594423,140751
742598,85411
411481,145869
398100,114344
452555,157537
329255,103585
518407,105669
77283,35537
230853,95800
567794,184462
408825,88275
779395,170582
645519,145089
391248,42470
505235,146038
309316,102627
326666,79942
691340,110841
1097902,196384
152271,42760
686404,94758
432552,97091
299154,167102
538582,108196
164894,87953
150237,36252
149922,31943
355768,100543
309215,106719
205091,100631
103548,23384
210470,135458
223531,148244
184564,85211
213254,139394
131725,81761
77908,25911
339236,118633
146336,45016
570181,177474
204240,64335
107217,54700
98541,39314
123920,40337
113104,51272
117895,92361
384524,147934
272133,106583
184940,98473
84216,49609
178771,94978
261400,99140
176383,32829
128180,38248
276828,100664
368712,100514
218339,99564
53390,35563
175992,74424
128574,56919
127313,71787
661245,162595
158713,81295
148480,45127
102577,38499
150354,77982
139864,62292
135990,76736
181930,112497
170890,73333
98151,48194
102049,56076
302406,39859
151480,49725
271143,95918
398643,139225
427812,126448
166984,108642
130799,39354
202301,84719
115412,49398
325688,56937
170861,37582
159325,61732
185829,112726
607083,88414
636840,156968
478507,120849
746261,186594
120041,52497
336953,88047
285422,98790
99245,29531
716805,232332
141769,67959
373319,97259
628167,142085
417990,140018
186941,57636
439006,147345
284294,72246
353929,156939
184481,83680
685505,51592
594489,159068
860086,222899
757493,127437
330073,110322
145490,65550
198728,113879
141482,87001
246714,83662
115230,45559
159155,83218
183758,85689
237171,75167
224700,104316
207153,96609
168486,74695
215115,118975
203865,111906
187372,115757
84780,36015
835150,201913
307924,87152
296264,120951
138372,80159
81956,31398
88881,38709
370658,144615
188048,80123
557536,90479
177602,64410
147958,81018
252875,41540
170833,66007
268758,112183
255022,107845
114007,20966
85938,29981
344007,121199
298650,160621
197820,150118
112590,51166
373467,86698
204414,95642
79581,21603
198825,28477
352855,113340
274235,94968
151820,81217
204828,67795
130374,67437
179010,72134
151400,47656
440260,44373
211687,83714
242388,127218
